CNPJ_COMPLETO;valor_real;PORTE;cnpj_basico;CEP;situacao_cadastral_atual;data_situacao_cadastral_atual;DT_ABERTURA;DT_FECHAMENTO;data_reabertura;situacao_fechamento;numero_posts;tem_instagram;cnae_fiscal_principal;nome_municipio
06.879.565/0001-77;1;3.0;6879565.0;94810000.0;8.0;20220318.0;20110412.0;;;;1474;1;4781400.0;ALVORADA
06.916.312/0007-11;0;5.0;6916312.0;95785000.0;8.0;20210311.0;20200512.0;20170817.0;20170921.0;8.0;145;1;1013902.0;SAO LUIZ GONZAGA
06.916.785/0001-23;1;5.0;6916785.0;;;;;;;;69;1;7739099.0;PORTO ALEGRE
06.933.918/0001-70;1;5.0;6933918.0;95670000.0;2.0;20040817.0;20040817.0;;;;410;1;8112500.0;GRAMADO
06.934.208/0001-64;1;3.0;6934208.0;;;;;;;;1780;1;4751201.0;PORTO ALEGRE
06.951.530/0003-63;0;5.0;6951530.0;93310439.0;8.0;20190919.0;20161221.0;;;;0;0;8219999.0;NOVO HAMBURGO
06.965.293/0028-48;0;5.0;6965293.0;94930010.0;8.0;20180416.0;20170426.0;;;;0;0;8211300.0;CACHOEIRINHA
06.970.582/0004-68;1;5.0;6970582.0;90480003.0;2.0;20170113.0;20170113.0;;;;469;1;6204000.0;PORTO ALEGRE
07.043.917/0001-12;0;1.0;7043917.0;95074060.0;8.0;20190529.0;20040923.0;;;;0;0;4751201.0;CAXIAS DO SUL
07.045.507/0001-00;1;3.0;7045507.0;93548515.0;8.0;20250307.0;20150902.0;;;;1975;1;4771704.0;NOVO HAMBURGO
07.047.183/0006-54;1;5.0;7047183.0;90690450.0;2.0;20231205.0;20231205.0;;;;784;1;6209100.0;PORTO ALEGRE
07.061.321/0001-45;0;5.0;7061321.0;91330001.0;8.0;20171221.0;20040913.0;;;;0;0;6821801.0;PORTO ALEGRE
07.066.257/0001-95;1;3.0;7066257.0;;;;;;;;778;1;2823200.0;NOVO HAMBURGO
07.082.551/0001-90;0;3.0;7082551.0;93600010.0;8.0;20100429.0;20041011.0;;;;0;0;4651601.0;ESTANCIA VELHA
07.086.487/0009-73;0;5.0;7086487.0;94970850.0;8.0;20250130.0;20191004.0;;;;0;0;4644302.0;CACHOEIRINHA
07.086.942/0001-83;1;5.0;7086942.0;90240540.0;2.0;20041104.0;20041104.0;;;;861;1;8020001.0;PORTO ALEGRE
07.089.272/0021-00;0;5.0;7089272.0;95170010.0;3.0;20241022.0;20120621.0;20160331.0;20160406.0;8.0;0;0;4110700.0;CAXIAS DO SUL
07.089.272/0021-00;0;5.0;7089272.0;95170010.0;3.0;20241022.0;20120621.0;20200401.0;20200916.0;8.0;0;0;4110700.0;CAXIAS DO SUL
07.089.272/0021-00;0;5.0;7089272.0;95170010.0;3.0;20241022.0;20120621.0;20220202.0;20220729.0;8.0;0;0;4110700.0;CAXIAS DO SUL
07.091.763/0001-34;1;1.0;7091763.0;90230120.0;2.0;20041112.0;20041112.0;;;;108;1;4530703.0;PORTO ALEGRE
07.093.880/0001-37;1;1.0;7093880.0;;;;;;;;248;1;8599604.0;JULIO DE CASTILHOS
07.106.124/0001-03;1;1.0;7106124.0;90520050.0;2.0;20190122.0;20041130.0;;;;986;1;6810201.0;PORTO ALEGRE
07.110.966/0001-20;1;3.0;7110966.0;;;;;;;;71;1;2229302.0;NOVO HAMBURGO
07.111.993/0001-18;1;1.0;7111993.0;93044070.0;2.0;20220127.0;20041116.0;;;;7;1;6201501.0;SAO LEOPOLDO
07.117.876/0001-61;0;1.0;7117876.0;91225150.0;8.0;20211015.0;20041111.0;;;;0;0;4742300.0;PORTO ALEGRE
07.118.629/0001-80;1;5.0;7118629.0;95555000.0;2.0;20041014.0;20041014.0;;;;615;1;4110700.0;CAPAO DA CANOA
07.125.955/0013-58;0;5.0;7125955.0;92020570.0;8.0;20230224.0;20190319.0;;;;0;0;1742799.0;CANOAS
07.133.825/0001-23;0;5.0;7133825.0;91250394.0;4.0;20220106.0;20041116.0;;;;0;0;9430800.0;PORTO ALEGRE
07.155.670/0001-26;1;3.0;7155670.0;95250000.0;8.0;20180117.0;20081124.0;;;;336;1;1112700.0;ANTONIO PRADO
07.156.330/0001-10;1;3.0;7156330.0;;;;;;;;712;1;2599399.0;BENTO GONCALVES
07.161.059/0001-00;1;1.0;7161059.0;;;;;;;;53;1;4672900.0;VERANOPOLIS
07.164.052/0001-42;1;3.0;7164052.0;91787595.0;2.0;20041216.0;20041216.0;;;;364;1;1113502.0;PORTO ALEGRE
07.164.446/0001-09;1;1.0;7164446.0;97501771.0;2.0;20210803.0;20210803.0;;;;570;1;4110700.0;URUGUAIANA
07.166.335/0001-23;1;1.0;7166335.0;;;;;;;;0;0;2864000.0;ESTRELA
07.168.810/0002-81;0;3.0;7168810.0;93310002.0;8.0;20121130.0;20050104.0;;;;0;0;3101200.0;NOVO HAMBURGO
07.169.079/0001-28;1;1.0;7169079.0;;;;;;;;466;1;4751201.0;TAPERA
07.180.472/0003-84;1;3.0;7180472.0;95150000.0;2.0;20231208.0;20231208.0;20170321.0;20231208.0;8.0;720;1;8650004.0;NOVA PETROPOLIS
07.187.987/0001-44;1;5.0;7187987.0;90050102.0;2.0;20220216.0;20050117.0;;;;98;1;9430800.0;PORTO ALEGRE
07.190.691/0001-82;1;1.0;7190691.0;91310002.0;8.0;20240627.0;20121128.0;;;;81;1;4759899.0;PORTO ALEGRE
07.191.228/0067-81;1;5.0;7191228.0;99010023.0;2.0;20240325.0;20240325.0;;;;0;0;4622200.0;PASSO FUNDO
07.206.111/0003-60;0;1.0;7206111.0;90240590.0;8.0;20191021.0;20081107.0;;;;0;0;8230001.0;PORTO ALEGRE
07.206.816/0042-93;1;5.0;7206816.0;95720000.0;2.0;20201217.0;20201217.0;;;;378;1;1092900.0;MONTE BELO DO SUL
07.212.479/0001-79;0;5.0;7212479.0;93025700.0;8.0;20100507.0;20050125.0;;;;0;0;4684299.0;SAO LEOPOLDO
07.214.909/0001-91;1;3.0;7214909.0;99155000.0;8.0;20170901.0;20140815.0;;;;137;1;1066000.0;VILA MARIA
07.215.233/0001-50;1;5.0;7215233.0;90620130.0;2.0;20050106.0;20050106.0;;;;153;1;9493600.0;PORTO ALEGRE
07.220.421/0001-77;0;1.0;7220421.0;95170010.0;8.0;20170619.0;20050210.0;;;;0;0;4642701.0;FARROUPILHA
07.234.956/0001-05;1;1.0;7234956.0;90680570.0;2.0;20050120.0;20050120.0;;;;1;1;6622300.0;PORTO ALEGRE
07.236.218/0001-99;1;5.0;7236218.0;90010320.0;2.0;20050110.0;20050110.0;;;;1449;1;9499500.0;PORTO ALEGRE
07.242.428/0001-90;0;5.0;7242428.0;94410970.0;8.0;20110602.0;20050217.0;;;;0;0;111301.0;VIAMAO
07.249.846/0294-33;0;5.0;7249846.0;97700285.0;2.0;20250721.0;20250721.0;20130719.0;20140514.0;8.0;206;1;6619399.0;TRAMANDAI
07.249.846/0294-33;0;5.0;7249846.0;97700285.0;2.0;20250721.0;20250721.0;20190919.0;20220201.0;8.0;206;1;6619399.0;TRAMANDAI
07.249.846/0294-33;0;5.0;7249846.0;97700285.0;2.0;20250721.0;20250721.0;20230417.0;20240812.0;8.0;206;1;6619399.0;TRAMANDAI
07.256.855/0001-27;1;5.0;7256855.0;96530000.0;2.0;20180327.0;20180327.0;20141208.0;20180327.0;8.0;661;1;163600.0;PARAISO DO SUL
07.266.379/0002-06;1;3.0;7266379.0;95054170.0;2.0;20221124.0;20221124.0;;;;1;1;1031700.0;CAXIAS DO SUL
07.266.597/0002-40;0;1.0;7266597.0;95110117.0;2.0;20211020.0;20211020.0;20201027.0;20210709.0;8.0;0;0;4774100.0;CAXIAS DO SUL
07.294.692/0001-77;1;5.0;7294692.0;;;;;;;;37;1;2731700.0;NOVO HAMBURGO
07.297.668/0003-53;0;5.0;7297668.0;93332100.0;8.0;20170606.0;20050624.0;;;;754;1;4623102.0;NOVO HAMBURGO
07.302.438/0001-73;1;5.0;7302438.0;90010272.0;2.0;19680313.0;19680313.0;;;;18;1;8112500.0;PORTO ALEGRE
07.309.520/0001-20;1;1.0;7309520.0;;;;;;;;214;1;4512901.0;TAQUARA
07.318.638/0043-73;0;5.0;7318638.0;95660000.0;2.0;20241128.0;20241128.0;20161010.0;20210308.0;8.0;0;0;1412601.0;TAQUARA
07.318.638/0043-73;0;5.0;7318638.0;95660000.0;2.0;20241128.0;20241128.0;20220110.0;20241128.0;8.0;0;0;1412601.0;TAQUARA
07.322.590/0001-18;1;1.0;7322590.0;97015290.0;2.0;20050412.0;20050412.0;;;;1425;1;7111100.0;SANTA MARIA
07.326.180/0001-45;1;3.0;7326180.0;95058510.0;2.0;20241022.0;20241022.0;20231025.0;20241022.0;8.0;83;1;3832700.0;CAXIAS DO SUL
07.342.251/0001-01;1;1.0;7342251.0;95270000.0;8.0;20180824.0;20140210.0;;;;985;1;8512100.0;FLORES DA CUNHA
07.348.191/0002-07;0;1.0;7348191.0;90550141.0;4.0;20220608.0;20050425.0;;;;0;0;4781400.0;PORTO ALEGRE
07.348.205/0001-01;1;5.0;7348205.0;;;;;;;;208;1;9511800.0;PORTO ALEGRE
07.356.862/0001-09;1;3.0;7356862.0;;;;;;;;53;1;2099199.0;SAO VENDELINO
07.357.044/0001-12;0;3.0;7357044.0;93212280.0;8.0;20090302.0;20050505.0;;;;0;0;2219600.0;SAPUCAIA DO SUL
07.361.476/0002-88;1;5.0;7361476.0;90540072.0;2.0;20091106.0;20091106.0;;;;472;1;5250803.0;NOVO HAMBURGO
07.365.875/0003-06;1;3.0;7365875.0;95900702.0;2.0;20160406.0;20160406.0;;;;67;1;2869100.0;CAXIAS DO SUL
07.372.042/0001-00;1;1.0;7372042.0;93900000.0;2.0;20050503.0;20050503.0;;;;931;1;6462000.0;IVOTI
07.378.424/0001-33;1;1.0;7378424.0;97015030.0;2.0;20050517.0;20050517.0;;;;1570;1;8599604.0;SANTA MARIA
07.379.959/0001-29;1;5.0;7379959.0;99950000.0;2.0;20050517.0;20050517.0;;;;103;1;141501.0;TAPEJARA
07.380.729/0001-80;1;5.0;7380729.0;90150053.0;2.0;20050317.0;20050317.0;;;;468;1;9430800.0;PORTO ALEGRE
07.390.363/0001-20;1;5.0;7390363.0;90480165.0;8.0;20250403.0;20050516.0;;;;522;1;4120400.0;PORTO ALEGRE
07.401.114/0004-35;1;1.0;7401114.0;96020260.0;2.0;20221111.0;20221111.0;;;;428;1;4930201.0;PELOTAS
07.401.652/0001-87;1;1.0;7401652.0;95074590.0;2.0;20050517.0;20050517.0;;;;28;1;3292202.0;CAXIAS DO SUL
07.404.480/0001-03;1;5.0;7404480.0;95010550.0;8.0;20191008.0;20101122.0;;;;93;1;4672900.0;CAXIAS DO SUL
07.404.480/0002-86;0;5.0;7404480.0;95010550.0;8.0;20191008.0;20101122.0;;;;93;1;4672900.0;CAXIAS DO SUL
07.408.873/0001-87;1;1.0;7408873.0;90150052.0;2.0;20050602.0;20050602.0;;;;313;1;7490199.0;PORTO ALEGRE
07.410.316/0001-09;1;1.0;7410316.0;;;;;;;;173;1;6110803.0;VANINI
07.414.514/0001-32;0;5.0;7414514.0;90010460.0;4.0;20181030.0;20041008.0;;;;0;0;9329899.0;PORTO ALEGRE
07.434.189/0001-70;1;5.0;7434189.0;90110160.0;2.0;20050530.0;20050530.0;;;;1101;1;9420100.0;PORTO ALEGRE
07.434.573/0002-53;0;1.0;7434573.0;95720000.0;2.0;20240619.0;20240619.0;20180914.0;20210520.0;8.0;585;1;4721104.0;GARIBALDI
07.434.573/0002-53;0;1.0;7434573.0;95720000.0;2.0;20240619.0;20240619.0;20220615.0;20240619.0;8.0;585;1;4721104.0;GARIBALDI
07.451.377/0001-06;0;1.0;7451377.0;95780000.0;8.0;20160105.0;20050614.0;;;;0;0;6821801.0;MONTENEGRO
07.455.957/0001-71;0;5.0;7455957.0;90570070.0;4.0;20220608.0;20030707.0;;;;0;0;9430800.0;PORTO ALEGRE
07.461.368/0001-04;1;1.0;7461368.0;90670004.0;2.0;20050518.0;20050518.0;;;;81;1;8211300.0;PORTO ALEGRE
07.463.822/0001-58;1;3.0;7463822.0;95588000.0;8.0;20250204.0;20210913.0;;;;564;1;4781400.0;PORTO ALEGRE
07.497.339/0001-94;1;1.0;7497339.0;92020240.0;2.0;20050517.0;20050517.0;;;;127;1;4530703.0;CANOAS
07.510.820/0001-72;1;1.0;7510820.0;90430180.0;2.0;20050712.0;20050712.0;;;;0;0;7312200.0;PORTO ALEGRE
07.520.438/0006-54;1;5.0;7520438.0;98735000.0;2.0;20190529.0;20190529.0;20090928.0;20110329.0;8.0;331;1;4681801.0;IJUI
07.520.438/0006-54;1;5.0;7520438.0;98735000.0;2.0;20190529.0;20190529.0;20160119.0;20190529.0;8.0;331;1;4681801.0;IJUI
07.520.438/0008-16;0;5.0;7520438.0;98735000.0;2.0;20190529.0;20190529.0;20090928.0;20110329.0;8.0;331;1;4681801.0;IJUI
07.520.438/0008-16;0;5.0;7520438.0;98735000.0;2.0;20190529.0;20190529.0;20160119.0;20190529.0;8.0;331;1;4681801.0;IJUI
07.525.253/0001-28;1;1.0;7525253.0;90560002.0;2.0;20050804.0;20050804.0;;;;1;1;7112000.0;PORTO ALEGRE
07.526.633/0011-59;0;5.0;7526633.0;95020180.0;4.0;20181030.0;20110905.0;;;;0;0;6499999.0;CAXIAS DO SUL
07.534.686/0001-40;1;1.0;7534686.0;92200255.0;2.0;20050809.0;20050809.0;;;;76;1;2610800.0;CANOAS
07.544.656/0007-00;0;1.0;7544656.0;98400000.0;8.0;20220210.0;20170622.0;;;;0;0;8291100.0;NONOAI
07.547.156/0004-89;0;5.0;7547156.0;93410340.0;8.0;20191105.0;20050822.0;;;;765;1;1610204.0;NOVO HAMBURGO
07.575.969/0001-30;0;5.0;7575969.0;98780001.0;8.0;20220628.0;20050825.0;;;;0;0;4330499.0;SANTA ROSA
07.576.118/0001-01;1;1.0;7576118.0;95705272.0;2.0;20050826.0;20050826.0;;;;1;1;4649499.0;BENTO GONCALVES
07.580.512/0079-83;1;5.0;7580512.0;95913138.0;2.0;20230215.0;20230215.0;20130314.0;20221220.0;8.0;457;1;4692300.0;LAJEADO
07.581.208/0001-90;1;3.0;7581208.0;95700010.0;8.0;20150506.0;20080416.0;;;;1099;1;8630504.0;FLORES DA CUNHA
07.581.208/0006-03;0;3.0;7581208.0;95700010.0;8.0;20150506.0;20080416.0;;;;1099;1;8630504.0;FLORES DA CUNHA
07.599.333/0002-09;1;1.0;7599333.0;90810080.0;2.0;20210927.0;20210927.0;20210322.0;20210927.0;8.0;700;1;4772500.0;CANOAS
07.599.333/0006-32;0;1.0;7599333.0;90810080.0;2.0;20210927.0;20210927.0;20210322.0;20210927.0;8.0;700;1;4772500.0;CANOAS
07.612.339/0001-98;1;1.0;7612339.0;93310002.0;2.0;20050927.0;20050927.0;;;;161;1;4623102.0;NOVO HAMBURGO
07.643.678/0001-31;1;1.0;7643678.0;95020360.0;2.0;20050926.0;20050926.0;;;;331;1;4530703.0;CAXIAS DO SUL
07.653.740/0002-57;0;3.0;7653740.0;90550100.0;8.0;20120327.0;20100817.0;;;;0;0;6920601.0;PORTO ALEGRE
07.663.579/0002-00;0;1.0;7663579.0;90035140.0;8.0;20220725.0;20151021.0;;;;0;0;4729699.0;PORTO ALEGRE
07.669.457/0001-32;0;1.0;7669457.0;90630160.0;8.0;20150915.0;20051103.0;;;;0;0;8610101.0;NOVO HAMBURGO
07.669.814/0003-24;1;5.0;7669814.0;95795000.0;2.0;20221004.0;20221004.0;;;;793;1;4637101.0;SAO VENDELINO
07.679.104/0001-13;1;3.0;7679104.0;93548360.0;2.0;20051110.0;20051110.0;;;;0;0;4751201.0;NOVO HAMBURGO
07.679.984/0001-28;1;3.0;7679984.0;97970000.0;2.0;20051101.0;20051101.0;;;;63;1;1066000.0;ROQUE GONZALES
07.683.194/0001-16;1;3.0;7683194.0;95705358.0;2.0;20051025.0;20051025.0;;;;65;1;2869100.0;BENTO GONCALVES
07.691.741/0001-05;1;3.0;7691741.0;93010210.0;2.0;20051110.0;20051110.0;;;;148;1;9511800.0;SAO LEOPOLDO
07.694.498/0003-40;1;5.0;7694498.0;97030620.0;2.0;20160322.0;20160322.0;;;;588;1;4930202.0;SANTA MARIA
07.712.234/0001-00;1;3.0;7712234.0;95080050.0;2.0;20051122.0;20051122.0;;;;62;1;2541100.0;CAXIAS DO SUL
07.718.633/0058-14;0;5.0;7718633.0;92025728.0;2.0;20250623.0;20250623.0;20140617.0;20150714.0;8.0;93;1;4691500.0;CACHOEIRINHA
07.718.633/0058-14;0;5.0;7718633.0;92025728.0;2.0;20250623.0;20250623.0;20150813.0;20160621.0;8.0;93;1;4691500.0;CACHOEIRINHA
07.718.633/0058-14;0;5.0;7718633.0;92025728.0;2.0;20250623.0;20250623.0;20181204.0;20190923.0;8.0;93;1;4691500.0;CACHOEIRINHA
07.718.633/0058-14;0;5.0;7718633.0;92025728.0;2.0;20250623.0;20250623.0;20210115.0;20210324.0;8.0;93;1;4691500.0;CACHOEIRINHA
07.718.633/0058-14;0;5.0;7718633.0;92025728.0;2.0;20250623.0;20250623.0;20210324.0;20210415.0;8.0;93;1;4691500.0;CACHOEIRINHA
07.718.633/0058-14;0;5.0;7718633.0;92025728.0;2.0;20250623.0;20250623.0;20210927.0;20211111.0;8.0;93;1;4691500.0;CACHOEIRINHA
07.718.633/0058-14;0;5.0;7718633.0;92025728.0;2.0;20250623.0;20250623.0;20240412.0;20240724.0;8.0;93;1;4691500.0;CACHOEIRINHA
07.728.373/0001-22;0;5.0;7728373.0;95170010.0;8.0;20170406.0;20051206.0;;;;0;0;2599399.0;FARROUPILHA
07.731.387/0001-03;1;1.0;7731387.0;93950000.0;2.0;20051129.0;20051129.0;;;;399;1;6810202.0;DOIS IRMAOS
07.736.144/0001-50;1;5.0;7736144.0;90240512.0;2.0;20051201.0;20051201.0;;;;362;1;2651500.0;PORTO ALEGRE
07.746.938/0002-85;1;3.0;7746938.0;97650000.0;2.0;20200916.0;20200916.0;;;;2362;1;4511102.0;ITAQUI
07.755.207/0016-00;0;5.0;7755207.0;90480001.0;8.0;20191031.0;20130409.0;;;;0;0;6622300.0;PORTO ALEGRE
07.757.816/0001-03;0;1.0;7757816.0;91330520.0;8.0;20130730.0;20051205.0;;;;0;0;6821801.0;PORTO ALEGRE
07.759.155/0001-55;1;1.0;7759155.0;94858000.0;8.0;20070919.0;20051222.0;;;;1;1;8511200.0;ALVORADA
07.759.334/0001-92;0;5.0;7759334.0;99250000.0;8.0;20180301.0;20051226.0;;;;0;0;4530701.0;SERAFINA CORREA
07.760.227/0001-84;1;5.0;7760227.0;95115000.0;2.0;20051223.0;20051223.0;;;;981;1;4744099.0;CAXIAS DO SUL
07.763.163/0001-75;1;5.0;7763163.0;99025415.0;2.0;20051227.0;20051227.0;;;;51;1;6622300.0;PASSO FUNDO
07.764.453/0001-33;1;3.0;7764453.0;90150003.0;8.0;20200715.0;20170503.0;;;;101;1;4751201.0;PORTO ALEGRE
07.765.998/0001-64;1;3.0;7765998.0;95740000.0;2.0;20051222.0;20051222.0;;;;384;1;2532201.0;POCO DAS ANTAS
07.772.006/0001-26;0;5.0;7772006.0;93600010.0;8.0;20151126.0;20051123.0;;;;0;0;4663000.0;ESTANCIA VELHA
07.775.193/0001-00;0;5.0;7775193.0;90110170.0;8.0;20230428.0;20051208.0;;;;0;0;8299799.0;PORTO ALEGRE
07.781.930/0002-50;0;5.0;7781930.0;90035091.0;8.0;20170224.0;20100115.0;;;;0;0;9430800.0;PORTO ALEGRE
07.784.967/0001-50;1;5.0;7784967.0;95700010.0;8.0;20130417.0;20090505.0;;;;41;1;4930202.0;CAXIAS DO SUL
07.788.402/0009-07;1;3.0;7788402.0;99700302.0;2.0;20211229.0;20211229.0;20140321.0;20211229.0;8.0;644;1;8630506.0;IJUI
07.797.318/0001-94;1;5.0;7797318.0;90220034.0;2.0;20250221.0;20250221.0;20161103.0;20250221.0;8.0;101;1;9602501.0;PORTO ALEGRE
07.797.318/0002-75;0;5.0;7797318.0;90220034.0;2.0;20250221.0;20250221.0;20161103.0;20250221.0;8.0;101;1;9602501.0;PORTO ALEGRE
07.802.765/0001-94;1;5.0;7802765.0;95885000.0;2.0;20231114.0;20051206.0;;;;518;1;4685100.0;IMIGRANTE
07.806.444/0001-68;0;5.0;7806444.0;90240470.0;4.0;20181030.0;20001220.0;;;;0;0;9420100.0;PORTO ALEGRE
07.814.876/0001-10;1;3.0;7814876.0;92519506.0;2.0;20060116.0;20060116.0;;;;246;1;7112000.0;MONTENEGRO
07.818.374/0001-68;0;5.0;7818374.0;95058510.0;8.0;20160803.0;20060117.0;;;;0;0;4120400.0;CAXIAS DO SUL
07.820.610/0001-80;1;1.0;7820610.0;95076330.0;2.0;20060126.0;20060126.0;;;;45;1;7311400.0;CAXIAS DO SUL
07.830.364/0001-48;1;1.0;7830364.0;90035077.0;2.0;20060120.0;20060120.0;;;;141;1;8299799.0;PORTO ALEGRE
07.836.189/0001-04;1;1.0;7836189.0;95080190.0;2.0;20060131.0;20060131.0;;;;1168;1;4774100.0;CAXIAS DO SUL
07.849.386/0001-50;1;5.0;7849386.0;99052900.0;2.0;20060213.0;20060213.0;;;;157;1;9430800.0;PASSO FUNDO
07.853.713/0001-47;0;1.0;7853713.0;91760450.0;8.0;20240228.0;20060213.0;;;;0;0;7319003.0;PORTO ALEGRE
07.858.498/0001-77;1;5.0;7858498.0;95333000.0;2.0;20060117.0;20060117.0;;;;217;1;1351100.0;FAGUNDES VARELA
07.860.057/0001-00;1;3.0;7860057.0;95717970.0;2.0;20060210.0;20060210.0;;;;74;1;7490103.0;PINTO BANDEIRA
07.872.571/0001-65;1;3.0;7872571.0;95930000.0;2.0;20060223.0;20060223.0;;;;212;1;2062200.0;CRUZEIRO DO SUL
07.894.743/0001-00;0;1.0;7894743.0;95032440.0;8.0;20200320.0;20051014.0;;;;38;1;4663000.0;CAXIAS DO SUL
07.898.226/0003-62;1;1.0;7898226.0;98340000.0;8.0;20210329.0;20130311.0;;;;1272;1;8630504.0;CERRO GRANDE
07.902.162/0001-64;1;5.0;7902162.0;93347425.0;2.0;20060316.0;20060316.0;;;;2593;1;9411100.0;NOVO HAMBURGO
07.904.455/0001-80;0;5.0;7904455.0;93510030.0;4.0;20180928.0;20060310.0;;;;0;0;4781400.0;NOVO HAMBURGO
07.906.793/0001-51;1;3.0;7906793.0;94931790.0;2.0;20060214.0;20060214.0;;;;0;0;4685100.0;CACHOEIRINHA
07.909.022/0001-18;1;3.0;7909022.0;95705052.0;2.0;20060322.0;20060322.0;;;;368;1;9511800.0;BENTO GONCALVES
07.915.164/0001-98;0;1.0;7915164.0;98540000.0;8.0;20191008.0;20060331.0;;;;0;0;7020400.0;MIRAGUAI
07.956.759/0005-15;1;5.0;7956759.0;97770000.0;2.0;20201228.0;20201228.0;;;;1033;1;1510600.0;NOVA ESPERANCA DO SUL
07.969.117/0001-27;1;1.0;7969117.0;92200550.0;2.0;20060419.0;20060419.0;;;;235;1;1813001.0;CANOAS
07.980.115/0001-39;1;3.0;7980115.0;95060145.0;2.0;20060320.0;20060320.0;;;;413;1;4663000.0;CAXIAS DO SUL
07.982.372/0001-00;1;5.0;7982372.0;90240541.0;2.0;20060427.0;20060427.0;;;;293;1;4751201.0;PORTO ALEGRE
07.990.318/0001-06;1;1.0;7990318.0;90240002.0;2.0;20060330.0;20060330.0;;;;1;1;4399103.0;PORTO ALEGRE
07.999.404/0001-80;1;3.0;7999404.0;90520080.0;2.0;20060511.0;20060511.0;;;;76;1;9313100.0;PORTO ALEGRE
08.004.353/0001-71;1;3.0;8004353.0;90570010.0;8.0;20190129.0;20070807.0;;;;367;1;8630504.0;PORTO ALEGRE
08.017.211/0001-49;0;1.0;8017211.0;92110420.0;8.0;20190523.0;20060427.0;;;;0;0;4921301.0;CANOAS
08.019.808/0001-22;1;3.0;8019808.0;90020022.0;2.0;20060525.0;20060525.0;;;;20;1;7020400.0;PORTO ALEGRE
08.026.707/0001-89;1;1.0;8026707.0;90560002.0;2.0;20060517.0;20060517.0;;;;981;1;6201502.0;PORTO ALEGRE
08.029.317/0001-62;1;3.0;8029317.0;98781720.0;2.0;20060518.0;20060518.0;;;;431;1;5510801.0;SANTA ROSA
08.040.111/0001-33;0;1.0;8040111.0;90020008.0;8.0;20101116.0;20060407.0;;;;0;0;9609299.0;PORTO ALEGRE
08.042.274/0001-55;0;1.0;8042274.0;95176004.0;8.0;20241023.0;20060602.0;;;;0;0;4930201.0;FARROUPILHA
08.045.054/0002-66;0;1.0;8045054.0;91770001.0;8.0;20231005.0;20220429.0;;;;0;0;4754701.0;PORTO ALEGRE
08.057.378/0001-33;1;3.0;8057378.0;99200000.0;2.0;20060608.0;20060608.0;;;;750;1;3211602.0;GUAPORE
08.058.921/0001-17;1;1.0;8058921.0;95041650.0;2.0;20060606.0;20060606.0;;;;512;1;7319004.0;CAXIAS DO SUL
08.067.907/0001-80;1;1.0;8067907.0;95765000.0;2.0;20131009.0;20131009.0;20120326.0;20131009.0;8.0;1244;1;1412601.0;BOM PRINCIPIO
08.075.119/0001-35;1;1.0;8075119.0;94551150.0;2.0;20060502.0;20060502.0;;;;0;0;7020400.0;VIAMAO
08.075.352/0010-09;1;5.0;8075352.0;93548390.0;2.0;20250610.0;20250610.0;;;;1121;1;6424703.0;CANOAS
08.086.900/0001-05;1;1.0;8086900.0;91010007.0;2.0;20060523.0;20060523.0;;;;37;1;7112000.0;PORTO ALEGRE
08.087.649/0001-01;0;5.0;8087649.0;90810080.0;8.0;20220208.0;20060531.0;;;;0;0;9492800.0;PORTO ALEGRE
08.108.006/0002-70;1;5.0;8108006.0;95720000.0;2.0;20200924.0;20200924.0;;;;977;1;4530703.0;PORTO ALEGRE
08.108.791/0001-80;1;3.0;8108791.0;93900000.0;2.0;20060608.0;20060608.0;;;;677;1;2391503.0;IVOTI
08.112.853/0001-27;1;1.0;8112853.0;95895000.0;2.0;20060707.0;20060707.0;;;;40;1;2539001.0;COLINAS
08.117.803/0001-32;1;5.0;8117803.0;91330001.0;2.0;20060620.0;20060620.0;;;;949;1;4110700.0;PORTO ALEGRE
08.156.642/0001-96;0;3.0;8156642.0;96815740.0;8.0;20241203.0;20060718.0;;;;0;0;6204000.0;SANTA CRUZ DO SUL
08.166.158/0001-48;0;1.0;8166158.0;99400000.0;8.0;20171026.0;20060713.0;;;;0;0;7911200.0;ESPUMOSO
08.186.505/0001-02;0;1.0;8186505.0;90230011.0;8.0;20201214.0;20060427.0;;;;0;0;5229002.0;PORTO ALEGRE
08.199.755/0002-50;1;3.0;8199755.0;95890000.0;8.0;20230113.0;20221214.0;;;;1904;1;8599601.0;TEUTONIA
08.201.347/0001-04;1;5.0;8201347.0;98958000.0;8.0;20191230.0;20100318.0;;;;416;1;2833000.0;SAO JOSE DO INHACORA
08.201.438/0001-40;1;5.0;8201438.0;94910170.0;2.0;20060731.0;20060731.0;;;;160;1;4712100.0;CACHOEIRINHA
08.202.473/0003-45;0;5.0;8202473.0;90010320.0;4.0;20210323.0;20060728.0;;;;0;0;4712100.0;PORTO ALEGRE
08.219.000/0007-84;0;5.0;8219000.0;95012631.0;3.0;20230816.0;20101005.0;;;;0;0;7820500.0;CAXIAS DO SUL
08.273.678/0001-50;1;1.0;8273678.0;90450070.0;2.0;20190124.0;20060825.0;;;;11;1;8630503.0;PORTO ALEGRE
08.275.418/0005-47;1;5.0;8275418.0;99025001.0;2.0;20220824.0;20220824.0;20210318.0;20220824.0;8.0;495;1;4930202.0;PASSO FUNDO
